Name,X_Coordinate,Y_Coordinate,Population,Distance
City_1,84.04,26.77,994672,387.5
City_2,80.58,26.78,845354,497.66
City_3,82.44,28.58,786287,208.69
City_4,84.49,27.96,977252,338.3
City_5,80.56,27.38,917436,373.95
City_6,85.12,27.19,937554,200.41
City_7,86.11,28.08,246815,113.05
City_8,80.97,26.71,961396,160.57
City_9,82.0,27.11,898690,146.94
City_10,87.96,29.75,969764,62.31
City_11,82.45,27.85,306184,221.14
City_12,84.71,27.55,872561,439.95
City_13,82.33,26.13,455635,359.91
City_14,88.25,29.2,529077,455.58
City_15,86.1,27.28,364741,354.42
City_16,85.97,26.89,916763,204.58
City_17,86.68,29.2,61583,477.87
City_18,82.43,28.46,144657,293.37
City_19,80.53,29.04,154699,109.04
City_20,80.43,28.42,277568,430.58
City_21,81.79,26.6,242749,412.98
City_22,85.8,29.04,996117,189.74
City_23,82.39,26.07,706509,52.0
City_24,81.52,28.76,204078,48.37
City_25,85.64,26.74,74353,370.93
City_26,85.01,29.06,274852,276.21
City_27,86.44,28.54,454508,484.38
City_28,84.25,27.14,699249,464.02
City_29,81.95,29.37,792880,59.31
City_30,86.63,29.07,378626,217.5
City_31,88.33,28.18,625037,280.64
City_32,85.91,26.87,489304,83.9
City_33,84.99,27.06,275603,496.5
City_34,81.41,29.96,409100,311.55
City_35,80.06,29.66,149632,260.56
City_36,87.46,29.84,42757,195.04
City_37,88.99,27.24,837129,39.15
City_38,81.18,26.1,475325,358.06
City_39,86.17,28.24,48428,191.7
City_40,83.69,27.23,563611,115.14
City_41,83.13,28.71,308371,204.62
City_42,84.33,28.49,198042,468.27
City_43,87.97,27.77,499526,106.11
City_44,85.32,26.46,335710,275.16
City_45,88.63,28.99,548729,347.81
City_46,80.21,28.65,850313,56.17
City_47,82.81,27.77,303724,31.44
City_48,88.99,26.99,781937,422.55
City_49,87.39,29.57,456647,231.39
City_50,84.83,26.89,520690,42.55
City_51,83.66,27.95,812480,121.9
City_52,87.46,29.27,619965,35.54
City_53,86.91,27.64,283665,399.24
City_54,85.3,28.21,312637,215.83
City_55,85.52,27.23,151088,389.62
City_56,85.06,28.28,256496,269.22
City_57,87.42,28.67,746711,351.04
City_58,83.12,26.71,217329,236.94
City_59,83.36,27.6,605666,282.04
City_60,81.95,29.8,255016,484.54
City_61,87.52,28.75,178848,79.55
City_62,84.94,26.79,872373,30.68
City_63,84.68,27.69,51899,271.93
City_64,82.72,26.89,475117,348.6
City_65,83.31,28.7,828998,243.85
City_66,80.96,26.76,472777,39.96
City_67,81.85,26.39,842766,342.85
City_68,82.75,28.91,374910,193.91
City_69,84.57,27.42,100510,223.88
City_70,81.32,27.94,362085,61.89
City_71,88.93,27.41,555102,383.64
City_72,84.94,27.6,737902,134.46
City_73,80.9,28.72,812890,64.92
City_74,83.17,26.39,757763,332.47
City_75,82.22,29.21,855026,39.29
City_76,84.47,29.83,854257,453.95
City_77,82.81,29.32,404192,39.41
City_78,83.62,28.24,770181,493.88
City_79,80.28,29.79,267169,199.34
City_80,83.97,27.92,121913,75.61
City_81,80.47,29.48,75816,125.76
City_82,84.35,28.21,738906,73.68
City_83,82.86,28.72,508178,288.62
City_84,84.04,28.87,952981,217.3
City_85,87.99,29.29,640408,402.01
City_86,86.3,29.76,21603,223.83
City_87,81.84,28.91,388616,179.27
City_88,81.27,28.02,629757,457.55
City_89,83.39,27.26,535981,217.05
City_90,88.5,28.64,203507,250.14
City_91,86.75,26.08,482841,108.26
City_92,83.86,30.0,261834,412.15
City_93,80.89,26.65,830898,48.18
City_94,84.8,26.6,536881,449.64
City_95,81.85,27.1,100352,360.43
City_96,83.36,29.51,87905,251.4
City_97,85.56,26.06,537096,213.76
City_98,82.59,27.01,449129,458.18
City_99,82.31,29.61,942933,214.35
City_100,87.89,27.67,673058,408.86
City_101,87.33,27.7,268600,327.56
City_102,84.7,27.24,608036,156.06
City_103,83.46,28.8,863041,101.71
City_104,81.02,28.87,621912,67.07
City_105,80.88,28.12,910982,62.85
City_106,82.74,29.65,961403,61.26
City_107,87.31,27.5,992501,141.04
City_108,86.26,28.89,839053,447.23
City_109,88.29,29.31,12565,455.16
City_110,83.94,26.8,407715,445.59
City_111,80.18,26.57,998654,477.13
City_112,85.11,27.62,527476,419.75
City_113,88.27,26.98,19632,187.35
City_114,81.36,26.17,831870,300.51
City_115,84.18,26.76,751862,70.13
City_116,83.94,27.66,67234,169.27
City_117,83.1,27.69,496240,425.32
City_118,83.86,28.71,728538,115.38
City_119,88.49,26.16,993308,259.47
City_120,86.97,27.7,263341,138.14
City_121,85.45,26.21,171388,454.05
City_122,84.73,26.82,832456,233.88
City_123,87.32,26.11,664104,62.64
City_124,86.74,29.29,571280,330.07
City_125,88.52,29.26,948420,337.11
City_126,84.73,27.99,933819,251.26
City_127,85.72,29.49,829832,254.43
City_128,88.98,27.79,700775,182.42
City_129,85.9,27.51,269051,286.5
City_130,84.26,28.4,547829,149.19
City_131,87.56,27.55,661386,112.13
City_132,84.91,26.39,689820,213.76
City_133,87.04,29.96,197192,86.4
City_134,86.83,29.57,404542,458.68
City_135,85.08,26.72,866767,248.76
City_136,86.25,28.22,699212,198.92
City_137,82.7,26.24,186748,111.05
City_138,86.03,29.83,347582,43.9
City_139,88.02,27.87,186056,34.69
City_140,80.34,29.19,438210,338.67
City_141,86.6,29.84,364943,29.32
City_142,85.13,28.05,701481,128.83
City_143,83.26,29.38,151984,395.03
