Dataset,Data Structure,Insert Time,Search Time,Delete/Remove Time
cities_100.csv,BST,0.00012440001592040062,3.0999945010989904e-06,3.4999975468963385e-06
cities_100.csv,AVL Tree,0.0003541999903973192,2.3999891709536314e-06,5.4000120144337416e-06
cities_100.csv,Min Heap,4.010001430287957e-05,N/A,5.999987479299307e-06
cities_100.csv,Hash Table,2.0700012100860476e-05,1.4999823179095984e-06,5.2000104915350676e-06
cities_1000.csv,BST,0.0018703999812714756,2.700020559132099e-06,2.800021320581436e-06
cities_1000.csv,AVL Tree,0.007800400024279952,7.90000194683671e-06,1.4699995517730713e-05
cities_1000.csv,Min Heap,0.00045289998524822295,N/A,1.5600002370774746e-05
cities_1000.csv,Hash Table,0.0002196999848820269,2.00001522898674e-06,7.499998901039362e-06
cities_10000.csv,BST,0.02521819999674335,6.400019628927112e-06,4.0000013541430235e-06
cities_10000.csv,AVL Tree,0.0665277999942191,1.170000177808106e-05,1.2599979527294636e-05
cities_10000.csv,Min Heap,0.005427500000223517,N/A,1.5400000847876072e-05
cities_10000.csv,Hash Table,0.002782600000500679,5.80001506023109e-06,9.399984264746308e-06
